ansible-1, Rocky 9.6, 10.64.1.124, "/dev/mapper/vg_os-lv_root     12G  4.9G  7.2G  41% /
/dev/mapper/vg_os-lv_var     5.0G  532M  4.5G  11% /var
/dev/mapper/vg_data-lv_opt   5.0G   73M  5.0G   2% /opt
/dev/mapper/vg_data-lv_data  5.0G   69M  5.0G   2% /data", "Local
0.0.0.0:111
127.0.0.1:323
[::]:111
[::1]:323
0.0.0.0:5666
0.0.0.0:22
0.0.0.0:111
[::]:5666
[::]:22
[::]:111", "NetworkManager.service
auditd.service
chronyd.service
crond.service
dbus-broker.service
firewalld.service
getty@tty1.service
gssproxy.service
irqbalance.service
nrpe.service
oddjobd.service
polkit.service
qemu-guest-agent.service
rpc-gssd.service
rpcbind.service
rsyslog.service
sshd.service
sssd.service
systemd-journald.service
systemd-logind.service
systemd-udevd.service
user@0.service"
auth01, CentOS 7.4, 10.64.1.31, "/dev/mapper/centos-root  9.4G  2.0G  7.4G  22% /
/dev/mapper/centos-var   7.4G  3.2G  4.2G  44% /var", "Local
*:464
10.64.1.31:53
127.0.0.1:53
*:68
*:88
10.64.1.31:123
127.0.0.1:123
*:123
:::464
:::53
:::88
::1:123
:::123
*:749
*:9102
*:111
*:80
*:464
10.64.1.31:53
127.0.0.1:53
*:22
*:88
127.0.0.1:953
127.0.0.1:25
*:443
*:10050
*:5666
:::749
:::464
:::53
:::22
:::88
::1:953
::1:25
:::636
:::10050
:::5666
:::389", "auditd.service
bacula-fd.service
certmonger.service
crond.service
dbus.service
dirsrv@NGN-BER.service
filebeat.service
getty@tty1.service
gssproxy.service
httpd.service
ipa-custodia.service
ipa-dnskeysyncd.service
ipa-otpd@8-4566-0.service
ipa-otpd@9-4565-0.service
irqbalance.service
kadmin.service
krb5kdc.service
lvm2-lvmetad.service
named-pkcs11.service
NetworkManager.service
nrpe.service
ntpd.service
oddjobd.service
polkit.service
postfix.service
qemu-guest-agent.service
rpc-gssd.service
rsyslog.service
sshd.service
sssd.service
systemd-journald.service
systemd-logind.service
systemd-udevd.service
tuned.service
zabbix-agent.service"
auth02, CentOS 7.4, 10.64.1.32, "/dev/mapper/centos-root  9.4G  2.2G  7.2G  23% /
/dev/mapper/centos-var   7.4G  3.2G  4.2G  43% /var", "Local
*:59268
*:464
10.64.1.32:53
127.0.0.1:53
*:68
*:88
10.64.1.32:123
127.0.0.1:123
*:123
:::464
:::53
:::88
fe80::87e0:c0a5:bf12:edc2%eth0:123
::1:123
:::123
:::18213
*:749
*:9102
*:111
*:464
10.64.1.32:53
127.0.0.1:53
*:22
*:88
127.0.0.1:953
127.0.0.1:25
*:5666
*:10050
:::749
:::111
:::80
:::8080
:::464
:::53
:::22
:::88
::1:953
::1:25
:::443
:::8443
:::636
:::5666
:::10050
:::389
::ffff:127.0.0.1:8005
::ffff:127.0.0.1:8009", "auditd.service
bacula-fd.service
certmonger.service
crond.service
dbus.service
dirsrv@NGN-BER.service
filebeat.service
getty@tty1.service
gssproxy.service
httpd.service
ipa-custodia.service
ipa-dnskeysyncd.service
irqbalance.service
kadmin.service
krb5kdc.service
lvm2-lvmetad.service
named-pkcs11.service
NetworkManager.service
nrpe.service
ntpd.service
oddjobd.service
pki-tomcatd@pki-tomcat.service
polkit.service
postfix.service
qemu-guest-agent.service
rpc-gssd.service
rsyslog.service
sshd.service
sssd.service
systemd-journald.service
systemd-logind.service
systemd-udevd.service
tuned.service
zabbix-agent.service"
auth04, CentOS 7.4, 10.64.1.34, "/dev/mapper/centos-root  9.4G  2.6G  6.8G  27% /
/dev/mapper/centos-var   7.4G  1.4G  6.0G  19% /var", "Local
*:68
10.64.1.34:123
127.0.0.1:123
*:123
::1:123
:::123
*:111
*:80
*:22
127.0.0.1:25
*:443
*:10050
*:5666
:::8080
:::22
::1:25
:::8443
:::636
:::10050
:::5666
:::389
::ffff:127.0.0.1:8005
::ffff:127.0.0.1:8009", "auditd.service
certmonger.service
crond.service
dbus.service
dirsrv@NGN-BER.service
filebeat.service
getty@tty1.service
gssproxy.service
httpd.service
irqbalance.service
lvm2-lvmetad.service
NetworkManager.service
nrpe.service
ntpd.service
oddjobd.service
pki-tomcatd@pki-tomcat.service
polkit.service
postfix.service
qemu-guest-agent.service
rpc-gssd.service
rsyslog.service
sshd.service
sssd.service
systemd-journald.service
systemd-logind.service
systemd-udevd.service
tuned.service
zabbix-agent.service"
authportal, Rocky 9.6, 10.64.1.35, "/dev/sda1       2.9G  1.8G  1.2G  61% /", "Local
10.64.1.35%ens18:62681
10.64.1.35%ens18:9993
127.0.0.1:323
10.64.1.35%ens18:24613
0.0.0.0:111
[::1]:323
[::]:111
0.0.0.0:443
127.0.0.1:8080
0.0.0.0:9993
0.0.0.0:22
0.0.0.0:111
0.0.0.0:80
*:9993
[::]:22
[::]:111
[::]:80", "auditd.service
chronyd.service
crond.service
dbus-broker.service
firewalld.service
getty@tty1.service
gssproxy.service
irqbalance.service
mokey.service
NetworkManager.service
nginx.service
oddjobd.service
qemu-guest-agent.service
rpcbind.service
rpc-gssd.service
rsyslog.service
sshd.service
sssd.service
systemd-journald.service
systemd-logind.service
systemd-udevd.service
user@0.service
zerotier-one.service"
communication-1, Ubuntu 24.04, 10.64.1.146, "/dev/mapper/vg_os-lv_root     11G  3.3G  7.8G  30% /
/dev/mapper/vg_os-lv_var      16G  5.0G   12G  31% /var
/dev/mapper/vg_data-lv_data  2.8T  1.4T  1.4T  49% /data", "Local
127.0.0.54:53
127.0.0.53%lo:53
10.64.1.146%ens18:68
0.0.0.0:111
[::]:111
0.0.0.0:111
0.0.0.0:22
0.0.0.0:25
0.0.0.0:443
127.0.0.53%lo:53
0.0.0.0:5666
127.0.0.1:6379
127.0.0.1:5432
127.0.0.54:53
[::]:111
[::]:22
[::]:25
[::]:443
[::]:5666
[::1]:6379", "atopacct.service
atop.service
cron.service
dbus.service
filebeat.service
getty@tty1.service
multipathd.service
nagios-nrpe-server.service
networkd-dispatcher.service
nginx.service
php8.3-fpm.service
polkit.service
postfix@-.service
postgresql@16-main.service
qemu-guest-agent.service
redis-server.service
rpcbind.service
rsyslog.service
snapd.service
ssh.service
systemd-journald.service
systemd-logind.service
systemd-networkd.service
systemd-resolved.service
systemd-timesyncd.service
systemd-udevd.service
unattended-upgrades.service
user@0.service"
dev-srv-01, CentOS 7.4, 10.64.1.131, "/dev/mapper/centos-root          9.4G  6.0G  3.4G  65% /
/dev/mapper/centos-var           7.4G  2.0G  5.4G  27% /var
/dev/mapper/vg_storage-lv_www     75G   46G   30G  61% /var/www
/dev/mapper/vg_storage-lv_mysql  5.0G  1.9G  3.2G  38% /var/lib/mysql", "Local
*:45590
*:68
10.64.1.131:123
127.0.0.1:123
*:123
:::49685
:::123
127.0.0.1:3306
10.64.1.131:63790
127.0.0.1:63790
*:9102
*:111
*:80
*:9200
*:9300
*:22
10.64.1.131:25
*:443
*:5666
127.0.0.1:9000
:::22
:::5666", "auditd.service
bacula-fd.service
crond.service
dbus.service
elasticsearch.service
filebeat.service
getty@tty1.service
gssproxy.service
irqbalance.service
lvm2-lvmetad.service
mysqld.service
NetworkManager.service
nginx.service
nrpe.service
ntpd.service
oddjobd.service
php72-php-fpm.service
php83-php-fpm.service
polkit.service
postfix.service
qemu-guest-agent.service
redis-server@redis-63790.service
rpc-gssd.service
rsyslog.service
sentinelone.service
sshd.service
sssd.service
systemd-journald.service
systemd-logind.service
systemd-udevd.service
tuned.service"
dxf-prod-db-1, Rocky 9.6, 10.64.13.125, "/dev/mapper/vg_os-lv_root     12G  3.8G  8.3G  32% /
/dev/mapper/vg_os-lv_var     5.0G  441M  4.6G   9% /var
/dev/mapper/vg_data-lv_opt   2.0G   47M  2.0G   3% /opt
/dev/mapper/vg_data-lv_data  3.0G  184M  2.9G   6% /data", "Local
0.0.0.0:111
127.0.0.1:323
[::]:111
[::1]:323
0.0.0.0:111
0.0.0.0:22
0.0.0.0:5432
[::]:111
[::]:22
[::]:5432", "NetworkManager.service
auditd.service
chronyd.service
crond.service
dbus-broker.service
firewalld.service
getty@tty1.service
gssproxy.service
irqbalance.service
polkit.service
postgresql-17.service
qemu-guest-agent.service
rpcbind.service
rsyslog.service
sshd.service
systemd-journald.service
systemd-logind.service
systemd-udevd.service
user@0.service"
dxf-prod-fs-1, Rocky 9.7, 10.64.13.120, "/dev/mapper/vg_os-lv_root     12G  3.6G  8.5G  30% /
/dev/mapper/vg_os-lv_var     5.0G  737M  4.3G  15% /var
/dev/mapper/vg_data-lv_data  500G  389G  112G  78% /data", "Local
127.0.0.1:323
0.0.0.0:111
10.64.13.255:137
10.64.13.120:137
0.0.0.0:137
10.64.13.255:138
10.64.13.120:138
0.0.0.0:138
[::1]:323
[::]:111
0.0.0.0:445
0.0.0.0:22
0.0.0.0:111
0.0.0.0:139
[::]:445
[::]:22
[::]:111
[::]:139", "NetworkManager.service
atd.service
auditd.service
certmonger.service
chronyd.service
crond.service
dbus-broker.service
firewalld.service
getty@tty1.service
gssproxy.service
irqbalance.service
nmb.service
oddjobd.service
polkit.service
rpc-gssd.service
rpcbind.service
rsyslog.service
smb.service
sshd.service
sssd.service
systemd-journald.service
systemd-logind.service
systemd-udevd.service
user@0.service
vnstat.service"
elk, CentOS 7.4, 10.64.1.4, "/dev/mapper/centos-root   87G   58G   30G  67% /
/dev/mapper/centos-var   170G  123G   48G  73% /var
shm                       64M     0   64M   0% /var/lib/docker/containers/68549f37328e435ffeca57b707de0740222bbfb348506ac5d7faee84f43b063b/mounts/shm
shm                       64M     0   64M   0% /var/lib/docker/containers/a99e6c4f4cb5530a35378db760c5abc734f36427065dee9685b156d5dca66f93/mounts/shm
shm                       64M     0   64M   0% /var/lib/docker/containers/ab344dcdd8cf7b1ed6bd9cba3afb729af9fc8d53918c9017fccfbeaf2e9035c7/mounts/shm
shm                       64M     0   64M   0% /var/lib/docker/containers/d87527670a4e94f41c76607f7f0c1227dd0d08f62d60b6c13d29aba6c2954ff0/mounts/shm
shm                       64M     0   64M   0% /var/lib/docker/containers/45f13cc8caea8511040f526bf3bfaabf9861377bfa7b9c87821fb3ea428ea5f3/mounts/shm
shm                       64M  8.0K   64M   1% /var/lib/docker/containers/4cc4d3ccd7e7a1177da9998ccbd2d254cc1ba9f0b6937df5e392bab5891a92d7/mounts/shm
shm                       64M     0   64M   0% /var/lib/docker/containers/483c0c6aebb6fcceb4158fb7dccaf78bf43884cd297c87ef32f84d9f71bdcbdf/mounts/shm
shm                       64M     0   64M   0% /var/lib/docker/containers/0cfa325143d8477fda4728a260bb0576456cffd798dccb5c75f00e799eb9c80a/mounts/shm
shm                       64M     0   64M   0% /var/lib/docker/containers/7e4c16e6776813614f487d55a6fc85de4d3f9123ad8f54372b8091668ab8204d/mounts/shm
shm                       64M     0   64M   0% /var/lib/docker/containers/ce6187eac3689fd056009e02f1e036895331880523b72d6340b2e5ccbf86a4f0/mounts/shm
shm                       64M  8.0K   64M   1% /var/lib/docker/containers/7ded59ffd1d5a868be5c214a7d28faf58e8e1b1d68a7be414edc077e9e2d262f/mounts/shm
shm                       64M  8.0K   64M   1% /var/lib/docker/containers/f700ce3936a3091298ed9ed9bd298c85ac9e80689eef19cfcca86bc11522b856/mounts/shm
shm                       64M     0   64M   0% /var/lib/docker/containers/b7bc496e020a8b9d526845f21f065578aeca8c99c27e91edd8527bc1f74ba817/mounts/shm
shm                       64M     0   64M   0% /var/lib/docker/containers/1979b96ff664392a42f00331f8eabeeefa5a77dd1e77673f27767d67812bfb98/mounts/shm
shm                       64M     0   64M   0% /var/lib/docker/containers/3b471346221f67f3c6e726ce32c1e13c9525fbb830599a8ca4597488ef8c2331/mounts/shm
shm                       64M  4.0K   64M   1% /var/lib/docker/containers/52c019e8f1ced1d71705c7f5310306f67baeb5d0a436b18e00cadaa59d4fb0cd/mounts/shm
shm                       64M     0   64M   0% /var/lib/docker/containers/01362a43013febd55e0d778398f14b03cc2179209033229f6b99e1f8a37284b0/mounts/shm", "Local
*:68
127.0.0.1:323
:::8089
:::8090
::1:323
10.64.1.4:588
*:9102
*:111
*:80
*:84
*:22
127.0.0.1:19991
127.0.0.1:8088
127.0.0.1:13306
*:443
*:5601
*:5666
:::587
:::110
:::143
:::9200
:::81
:::465
:::5044
:::9300
:::22
:::8086
:::25
:::444
:::4190
::ffff:127.0.0.1:9600
:::993
:::5666
:::995", "auditd.service
bacula-fd.service
chronyd.service
crond.service
dbus.service
docker.service
elasticsearch.service
filebeat.service
getty@tty1.service
gogs.service
gogs-web.service
gssproxy.service
influxdb.service
irqbalance.service
kibana.service
logstash.service
lvm2-lvmetad.service
NetworkManager.service
nginx.service
nrpe.service
oddjobd.service
polkit.service
qemu-guest-agent.service
rpc-gssd.service
rsyslog.service
sshd.service
sssd.service
systemd-journald.service
systemd-logind.service
systemd-udevd.service
tuned.service"
